ticker,company_name,market_cap,size_band,sub_type,scale_category,market_code,source,is_reinclude_43list,is_judgment_add,manual_name_resolved
3760,"CAVE Interactive CO.,LTD.",3615600000.0,small,content_games,-,スタンダード,Tempest,False,False,False
3653,(name missing — Phase 2 acquisition loop will resolve),3474789888,small,other,S,,Phase1_TSE33,False,False,False
4427,"EduLab, Inc.",2524331520,small,SaaS,S,,Phase1_TSE33,False,False,False
3928,Mynet Inc.,2095328384,small,content_games,S,,Phase1_TSE33,False,False,False
3803,Image Information Inc.,2066946432,small,SI_IT_services,S,,Phase1_TSE33,False,False,False
3998,(name missing — Phase 2 acquisition loop will resolve),1974910464,small,other,S,,Phase1_TSE33,False,False,False
3909,Showcase Inc.,1834557824,small,SaaS,S,,Phase1_TSE33,False,False,False
9444,"Toshin Holdings Co.,Ltd",1480420608,small,other,S,,Phase1_TSE33,False,False,False
3908,Collabos Corporation,1387102080,small,SI_IT_services,S,,Phase1_TSE33,False,False,False
9241,"Future Link Network Co.,Ltd.",1091287296,small,internet_platform,S,,Phase1_TSE33,False,False,False
3681,"V-cube, Inc.",724568000,small,SaaS,S,,Phase1_TSE33,False,False,False
4173,WACUL Inc.,,unknown,SaaS,U,,Phase1_TSE33,False,False,True
4435,"kaonavi, inc.",,unknown,SaaS,U,,Phase1_TSE33,False,False,True
4485,JTOWER Inc.,,unknown,telecom,U,,Phase1_TSE33,False,False,True
9613,NTT DATA GROUP CORPORATION,,unknown,SI_IT_services,U,,Phase1_TSE33,False,False,True
9749,Fujisoft Incorporated,,unknown,SI_IT_services,U,,Phase1_TSE33,False,False,True
